code;name
170;Emprunts subordonnés
171;Emprunts obligataires non subordonnés
172;Dettes de location-financement
173;Etablissements de crédit
174;Autres emprunts
175;Dettes commerciales
179;Dettes diverses
4100;Acompte de fonds de réserve appelé
4101;Acompte de fonds de roulement appelé
416;Créances diverses
417;Créances douteuses
419;Réductions de valeur actées (-)
420;Dettes à plus d'un an échéant dans l'année
430;Dettes financières
440;Fournisseurs
444;Factures à recevoir
450;Dettes fiscales, salariales et sociales
490;Charges à reporter
491;Produits acquis
492;Charges à imputer
493;Produits à reporter
499;Comptes d'attente
530;Dépôts à terme
550;Fonds de réserve
551;Fonds de roulement
552;Autres comptes
570;Caisses
580;Virements internes
6100;Protection anti-incendie
6101;Ascenseurs
6102;Installations électriques
6103;Sanitaires et chauffage
6104;Menuiseries
6105;Nettoyage et traitement des ordures ménagères
6106;Jardins, parkings et chemins
6107;Entretien bâtiments
6108;Piscine
6109;Divers
6110;Frais d'études et surveillance
6111;Rénovation
6112;Travaux de transformation
6113;Travaux d'extension
6120;Eau
6121;Electricité
6122;Gaz
6123;Mazout
6124;Autres services collectifs
6125;Autres fournitures
6130;Honoraires
6131;Charges membres du conseil (conseil de copropriété) et commissaire interne aux comptes
614;Assurances
615;Conciergerie
6160;Frais d'administration syndic
6161;Frais réunions
6162;Traductions
6163;Frais de procédure
6164;Publications et modification des statuts
6165;Frais transfert de propriété
6166;Frais divers gestion
620;Rémunérations, charges sociales et pensions
630;Amortissements et réductions de valeur
640;Autres charges
650;Charges financières
660;Charges exceptionnelles
690;Valeurs à reporter
700;Acomptes fonds de réserve
701;Acomptes fonds de roulement
750;Produits financiers
760;Produits exceptionnels
