code;name
102;Provisions pour travaux décidés
103;Avances
1031;Avances de trésorerie
1032;Avances travaux au titre de l'article 18.6e alinéa de la loi susvisée
1033;Autres avances
105;Fonds de travaux
120;Solde en attente sur travaux et opérations exceptionnelles
131;Subventions accordées en instance de versement
401;Fournisseurs - Factures parvenues
408;Fournisseurs - Factures non parvenues
409;Fournisseurs débiteurs
421;Rémunérations dues
431;Sécurité sociale
432;Autres organismes sociaux
441;Etat et autres organismes - subventions à recevoir
442;Etat - impôts et versements assimilés
443;Collectivités territoriales - aides
450;Copropriétaire individualisé
4501;Copropriétaire - budget prévisionnel
4502;Copropriétaire - travaux et opération exceptionnelles
4503;Copropriétaire - avances
4504;Copropriétaire - emprunts
4505;Copropriétaire - fonds de travaux
459;Copropriétaire - créances douteuses
461;Débiteurs divers
462;Créditeurs divers
471;Compte en attente d'imputation débiteur
472;Compte en attente d'imputation créditeur
486;Charges payées d'avance
487;Produits encaissés d'avance
491;Copropriétaires
492;Personnes autres que les copropriétaires
501;Compte à terme
502;Autre compte
512;Banques
514;Chèques postaux
531;Caisse
601;Eau
602;Electricité
603;Chauffage, énergie et combustibles
604;Achats produits d'entretien et petits équipements
605;Matériel
606;Fournitures
611;Nettoyage des locaux
612;Locations immobilières
613;Locations mobilières
614;Contrats de maintenance
615;Entretien et petites réparations
616;Primes d'assurances
621;Rémunérations du syndic sur gestion copropriété
6211;Rémunération du syndic
6212;Débours
6213;Frais postaux
622;Autres honoraires du syndic
6221;Honoraires travaux
6222;Prestations particulières
6223;Autres honoraires
623;Rémunérations de tiers intervenants
624;Frais du conseil syndical
632;Taxe de balayage
633;Taxe foncière
634;Autres impôts et taxes
641;Salaires
642;Charges sociales et organismes sociaux
643;Taxe sur les salaires
644;Autres (médecine du travail, mutuelles, etc.)
661;Remboursement d'annuités d'emprunt
662;Autres charges financières et agios
671;Travaux décidés par l'assemblée générale
672;Travaux urgents
673;Etudes techniques, diagnostic, consultation
677;Pertes sur créances irrécouvrables
678;Charges exceptionnelles
680;Dotations aux dépréciations sur créances douteuses.
701;Appels de fonds - Provisions sur opérations courantes
702;Appels de fonds - Provisions sur travaux du I de l'article 14-2 et opérations exceptionnelles
703;Appels de fonds - Avances
704;Appels de fonds - Remboursements d'annuités d'emprunts
705;Appels de fonds - Affectation du fonds de travaux
711;Subventions
712;Emprunts
713;Indemnités d'assurances
714;Produits divers (dont intérêts légaux dus par les copropriétaires)
716;Produits financiers
718;Produits exceptionnels
780;Reprises de dépréciations sur créances douteuses.
