code;name
102;Provisions pour travaux décidés	
1031;Avances de trésorerie	
1032;Avances travaux au titre de l'article 18.6e alinéa de la loi susvisée
1033;Autres avances	
110;Report à nouveau (créditeur)	
119;Report à nouveau (débiteur)	
120;Résultat de l'exercice (excédent)	
129;Résultat de l'exercice (perte)	
131;Subventions accordées en instance de versement	
401;Fournisseurs - Factures parvenues	
408;Fournisseurs - Factures non parvenues	
455;Copropriétaire individualisé
459;Copropriétaire - créances douteuses
512;Banques	
531;Caisse
601;Eau	
602;Electricité	
603;Chauffage, énergie et combustibles
604;Achats produits d'entretien et petits équipements	
605;Matériel
611;Nettoyage des locaux		
614;Contrats de maintenance		
615;Entretien et petites réparations		
616;Primes d'assurances		
6213;Frais postaux		
6222;Prestations particulières		
624;Frais du conseil syndical		
626;Frais postaux et télécommunications
627;Frais des services bancaires
671;Travaux décidés par l'assemblée générale		
672;Travaux urgents		
673;Etudes techniques, diagnostic, consultation
678;Charges exceptionnelles		
701;Appels de fonds - Provisions sur opérations courantes
702;Appels de fonds - Provisions sur travaux de l'article 14-2 et opérations exceptionnelles
703;Appels de fonds - Avances
704;Appels de fonds - Remboursements d'annuités d'emprunts
